,file,smiles
260,20181997,C1(=C(C(=C(C(=C1[H])C(C(Cl)([H])[H])(C(C#N)(C(=O)C([H])([H])[H])C(=O)N2C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H])[H])[H]
261,20242277,C(C(C(=C(C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(O[H])[H])Br)Br)(O[H])[H])(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
262,20191978,C1(=C(C(=C(C(=C1C(=S)N(C2=C(C(=C(C(=C2[H])[H])OC([H])([H])[H])[H])[H])[H])[H])[H])F)[H])[H]
263,10024828,C=1(C(=C(C(=C(C1[H])[H])C(C(C(=O)O[H])([H])[H])([H])[H])[H])[H])O[H]
264,20249275,C(#CC=1C(=C(C(=C(C1[H])[H])[H])[H])[H])[Si](C([H])([H])[H])(C([H])([H])[H])C#C[H]
265,20025987,C=1(C(=C(C(=C(C1[H])[H])S=2(C(C(C(C(N2)([H])[H])([H])[H])([H])[H])(C([H])([H])[H])[H])=O)[H])[H])[H]
266,20230238,C1(=NC(=NC2=C1N=C(N2C3(OC(C(C(C3([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H])C(=C([H])[H])[H]
268,30085200,N12C(C3(C4(C(C(C(C(N4C(C(C1(C(C(C(C2(C([H])([H])[H])[H])([H])[H])([H])[H])([H])[H])[H])(C3([H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H]
269,30085510,N12C(C(C(C(C2(C3(C(N4C(C(C(C(C4([H])C(C3([H])[H])(C1([H])[H])[H])([H])[H])([H])[H])([H])[H])(O[H])[H])=O)[H])[H])([H])[H])([H])[H])([H])[H])=O
270,20230320,C1(=C(C(=C(C2=C1N=C(C3(O2)C(C3([H])[H])([H])[H])C(=O)OC([H])([H])[H])[H])[H])C(=C(C#N)[H])[H])[H]
271,20037380,C=1(N(C(=C(N1)[H])[H])C(OC(C([H])([H])[H])([H])[H])=O)[H]
274,20123184,C(C([H])([H])[H])(C(=O)C#N)(OC(C([H])([H])[H])=O)[H]
275,10009283,C(C(=C=C(C([H])([H])[H])[H])C([H])([H])[H])(OC([H])([H])[H])=O
279,20146536,C1(C(=C(C(C(C1(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])=O)C(=O)OC(C([H])([H])[H])([H])[H])[H])([H])[H]
280,20167416,N1(C2(C34C(C(C1([H])[H])(C(C(C3([H])[H])([H])[H])([H])[H])C([H])([H])[H])(C(C2(C56C4(C(C(C(C5(O[H])[H])(O[H])C(O[H])([H])[H])(C(C6([H])[H])([H])[H])[H])([H])[H])[H])[H])([H])[H])[H])[H])C([H])([H])[H]
281,20218176,C=1(C(=C(C(=C(C1OC([H])([H])[H])C(C#C[H])([H])[H])[H])OC([H])([H])[H])Cl)[H]
283,20212712,C1(=C(C(OC(C1([H])[H])(C=2C(OC(C2[H])=O)(O[H])[H])[H])([H])[H])[H])[H]
284,20142319,C=1(C(=C(C(=C(C1[H])[H])C#C[H])Br)[H])[H]
286,20212599,C1(SC(SC(C1(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])(P(C([H])([H])[H])(C([H])([H])[H])=S)[H])([H])[H]
