Original_SMILES,Canonical_SMILES,Source_Dataset,Source_ID
C1(C(C(C(C(N1[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H],C1CCNCC1,nmrdb,10008705
O1C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H],C1CCOC1,nmrdb,10016046
C1(C(C(OC(C1([H])[H])([H])[H])([H])[H])([H])[H])([H])[H],C1CCOCC1,nmrdb,10016053
C1(C(C(OC(OC1([H])[H])([H])[H])([H])[H])([H])[H])([H])[H],C1CCOCOC1,nmrdb,10016086
O1C(C(C(C(C(OC1([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H],C1CCOCOCC1,nmrdb,10016087
C1(C(N(C(C(N1[H])([H])[H])([H])[H])[H])([H])[H])([H])[H],C1CNCCN1,nmrdb,10008641
C1(N(C(C(N(C(C(N(C1([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H],C1CNCCNCCN1,nmrdb,30101022
C1(N(N(C(C1([H])[H])([H])[H])[H])[H])([H])[H],C1CNNC1,nmrdb,10025251
C1(C(O1)([H])[H])([H])[H],C1CO1,nmrdb,10016036
C1(C(OC1([H])[H])([H])[H])([H])[H],C1COC1,nmrdb,10016041
C12(C(C(C(O1)([H])[H])([H])[H])([H])[H])OC(C(C2([H])[H])([H])[H])([H])[H],C1COC2(C1)CCCO2,nmrdb,10016156
O1C(C(OC(C1([H])[H])([H])[H])([H])[H])([H])[H],C1COCCO1,nmrdb,10016061
C1(OC(C(O1)([H])[H])([H])[H])([H])[H],C1COCO1,nmrdb,10016048
C1(C(OC(OC1([H])[H])([H])[H])([H])[H])([H])[H],C1COCOC1,nmrdb,10016064
